BLOCK,PLOT,SIZE,TRT,SPECIES,DENSITY_HA,YEAR
1,2,large,bo,PSME,39.9829768,2002
1,2,large,bo,PIPO,79.9659536,2002
1,2,medium,bo,PSME,79.9659536,2002
1,2,medium,bo,PIPO,19.9914884,2002
1,2,small,bo,PSME,39.9829768,2002
1,5,large,bo,PIPO,139.9404188,2002
1,5,medium,bo,PIPO,39.9829768,2002
1,5,small,bo,PSME,39.9829768,2002
1,5,small,bo,PIPO,19.9914884,2002
1,9,large,bo,PSME,19.9914884,2002
1,9,large,bo,PIPO,19.9914884,2002
1,9,small,bo,PSME,99.957442,2002
1,12,large,bo,PSME,19.9914884,2002
1,12,large,bo,PIPO,79.9659536,2002
1,12,medium,bo,PSME,19.9914884,2002
1,12,small,bo,PSME,79.9659536,2002
1,18,large,bo,PIPO,159.9319072,2002
1,18,medium,bo,PIPO,39.9829768,2002
1,18,small,bo,PSME,19.9914884,2002
1,18,small,bo,PIPO,19.9914884,2002
1,22,large,bo,PSME,119.9489304,2002
1,22,large,bo,PIPO,19.9914884,2002
1,22,medium,bo,PSME,159.9319072,2002
1,22,medium,bo,PIPO,39.9829768,2002
1,22,small,bo,PSME,579.7531636,2002
1,24,large,bo,PSME,79.9659536,2002
1,24,medium,bo,PSME,99.957442,2002
1,24,medium,bo,PIPO,79.9659536,2002
1,24,small,bo,PSME,219.9063724,2002
1,24,small,bo,PIPO,819.6510244,2002
1,26,large,bo,PIPO,39.9829768,2002
1,26,medium,bo,PIPO,39.9829768,2002
1,26,small,bo,PIPO,1179.497816,2002
1,29,large,bo,PSME,99.957442,2002
1,29,medium,bo,PSME,59.9744652,2002
1,29,medium,bo,PIPO,39.9829768,2002
1,29,small,bo,PSME,99.957442,2002
1,29,small,bo,PIPO,19.9914884,2002
1,33,large,bo,PSME,19.9914884,2002
1,33,medium,bo,PSME,79.9659536,2002
1,33,small,bo,PSME,79.9659536,2002
1,33,small,bo,PIPO,79.9659536,2002
1,2,large,co,PSME,19.9914884,2002
1,2,large,co,PIPO,179.9233956,2002
1,2,medium,co,PSME,19.9914884,2002
1,2,medium,co,PIPO,3018.714748,2002
1,2,small,co,PSME,19.9914884,2002
1,2,small,co,PIPO,6897.063498,2002
1,5,large,co,PSME,59.9744652,2002
1,5,large,co,PIPO,39.9829768,2002
1,5,medium,co,PSME,39.9829768,2002
1,5,medium,co,PIPO,199.914884,2002
1,5,small,co,PSME,19.9914884,2002
1,5,small,co,PIPO,279.8808376,2002
1,9,large,co,PIPO,19.9914884,2002
1,9,medium,co,PIPO,199.914884,2002
1,9,small,co,PIPO,619.7361404,2002
1,12,large,co,PSME,59.9744652,2002
1,12,large,co,PIPO,39.9829768,2002
1,12,medium,co,PSME,39.9829768,2002
1,12,medium,co,PIPO,19.9914884,2002
1,12,small,co,LAOC,19.9914884,2002
1,12,small,co,PSME,59.9744652,2002
1,12,small,co,PIPO,19.9914884,2002
1,18,large,co,PSME,19.9914884,2002
1,18,large,co,PIPO,99.957442,2002
1,18,medium,co,PSME,19.9914884,2002
1,18,medium,co,PIPO,2239.046701,2002
1,18,small,co,PSME,19.9914884,2002
1,18,small,co,PIPO,11994.89304,2002
1,22,large,co,JUSC,19.9914884,2002
1,22,large,co,PIPO,39.9829768,2002
1,22,medium,co,PSME,59.9744652,2002
1,22,medium,co,PIPO,99.957442,2002
1,22,small,co,PSME,19.9914884,2002
1,22,small,co,PIPO,679.7106056,2002
1,24,large,co,PSME,59.9744652,2002
1,24,large,co,PIPO,19.9914884,2002
1,24,medium,co,PSME,99.957442,2002
1,24,medium,co,PIPO,19.9914884,2002
1,24,small,co,PSME,79.9659536,2002
1,26,large,co,PIPO,99.957442,2002
1,26,medium,co,PSME,79.9659536,2002
1,26,medium,co,PIPO,59.9744652,2002
1,26,small,co,JUSC,19.9914884,2002
1,26,small,co,PSME,39.9829768,2002
1,26,small,co,PIPO,739.6850708,2002
1,29,large,co,PIPO,59.9744652,2002
1,29,medium,co,PIPO,99.957442,2002
1,29,small,co,PIPO,139.9404188,2002
1,33,large,co,PSME,99.957442,2002
1,33,large,co,PIPO,39.9829768,2002
1,33,medium,co,PSME,179.9233956,2002
1,33,medium,co,PIPO,79.9659536,2002
1,33,small,co,PICO,19.9914884,2002
1,33,small,co,PSME,179.9233956,2002
1,33,small,co,PIPO,139.9404188,2002
1,2,large,tb,PIPO,19.9914884,2002
1,2,medium,tb,PSME,59.9744652,2002
1,2,small,tb,PSME,39.9829768,2002
1,2,small,tb,PIPO,159.9319072,2002
1,5,medium,tb,PSME,19.9914884,2002
1,9,large,tb,PSME,99.957442,2002
1,9,medium,tb,PSME,39.9829768,2002
1,9,small,tb,PSME,39.9829768,2002
1,12,medium,tb,PIPO,19.9914884,2002
1,12,small,tb,PSME,19.9914884,2002
1,18,medium,tb,PSME,19.9914884,2002
1,18,medium,tb,PIPO,19.9914884,2002
1,18,small,tb,PSME,39.9829768,2002
1,22,medium,tb,PIPO,39.9829768,2002
1,24,large,tb,PSME,19.9914884,2002
1,24,large,tb,PIPO,19.9914884,2002
1,24,medium,tb,PSME,19.9914884,2002
1,26,large,tb,PIPO,19.9914884,2002
1,26,large,tb,POTR,19.9914884,2002
1,26,medium,tb,PSME,39.9829768,2002
1,26,small,tb,PSME,19.9914884,2002
1,26,small,tb,PIPO,79.9659536,2002
1,29,large,tb,PSME,19.9914884,2002
1,29,medium,tb,PSME,39.9829768,2002
1,33,large,tb,PIPO,119.9489304,2002
1,33,medium,tb,PIPO,119.9489304,2002
1,33,small,tb,PSME,19.9914884,2002
1,33,small,tb,PIPO,39.9829768,2002
1,2,medium,to,PSME,19.9914884,2002
1,2,medium,to,PIPO,19.9914884,2002
1,2,small,to,PSME,19.9914884,2002
1,2,small,to,PIPO,139.9404188,2002
1,5,large,to,PSME,19.9914884,2002
1,5,medium,to,PIPO,19.9914884,2002
1,5,small,to,PSME,199.914884,2002
1,5,small,to,PIPO,259.8893492,2002
1,12,small,to,PSME,59.9744652,2002
1,12,small,to,PIPO,79.9659536,2002
1,18,large,to,PSME,19.9914884,2002
1,18,large,to,PIPO,19.9914884,2002
1,18,medium,to,PIPO,19.9914884,2002
1,18,small,to,PSME,99.957442,2002
1,18,small,to,PIPO,79.9659536,2002
1,22,large,to,PSME,79.9659536,2002
1,22,medium,to,PSME,199.914884,2002
1,22,medium,to,PIPO,39.9829768,2002
1,22,small,to,PSME,179.9233956,2002
1,22,small,to,PIPO,199.914884,2002
1,24,large,to,PIPO,19.9914884,2002
1,24,medium,to,PIPO,259.8893492,2002
1,24,small,to,PIPO,4178.221076,2002
1,26,large,to,PSME,19.9914884,2002
1,26,large,to,PIPO,19.9914884,2002
1,26,medium,to,PSME,39.9829768,2002
1,26,small,to,PIPO,1019.565908,2002
1,29,large,to,PIPO,19.9914884,2002
1,29,medium,to,JUSC,39.9829768,2002
1,29,medium,to,PSME,39.9829768,2002
1,29,medium,to,PIPO,119.9489304,2002
1,29,small,to,PSME,119.9489304,2002
1,29,small,to,PIPO,99.957442,2002
1,33,large,to,PSME,19.9914884,2002
1,33,medium,to,PSME,19.9914884,2002
1,33,small,to,PSME,59.9744652,2002
1,33,small,to,PIPO,19.9914884,2002
2,2,medium,bo,PSME,39.9829768,2002
2,2,small,bo,PSME,159.9319072,2002
2,5,large,bo,PSME,139.9404188,2002
2,5,medium,bo,PSME,519.7786984,2002
2,5,medium,bo,PIPO,59.9744652,2002
2,5,small,bo,PSME,3138.663679,2002
2,5,small,bo,PIPO,99.957442,2002
2,9,large,bo,LAOC,19.9914884,2002
2,9,large,bo,PSME,39.9829768,2002
2,12,large,bo,PSME,59.9744652,2002
2,12,medium,bo,PSME,19.9914884,2002
2,12,small,bo,PSME,59.9744652,2002
2,18,medium,bo,PIPO,19.9914884,2002
2,22,large,bo,PSME,19.9914884,2002
2,22,medium,bo,PSME,59.9744652,2002
2,22,medium,bo,PIPO,39.9829768,2002
2,22,small,bo,PSME,1279.455258,2002
2,24,large,bo,PSME,119.9489304,2002
2,24,medium,bo,PSME,239.8978608,2002
2,24,small,bo,PSME,1579.327584,2002
2,24,small,bo,PIPO,39.9829768,2002
2,26,large,bo,PSME,139.9404188,2002
2,26,large,bo,PIPO,19.9914884,2002
2,26,medium,bo,PSME,419.8212564,2002
2,26,small,bo,PSME,859.6340012,2002
2,29,large,bo,PSME,359.8467912,2002
2,29,medium,bo,LAOC,19.9914884,2002
2,29,medium,bo,PSME,299.872326,2002
2,29,small,bo,PSME,439.8127448,2002
2,33,large,bo,PSME,579.7531636,2002
2,33,large,bo,PIPO,19.9914884,2002
2,33,medium,bo,LAOC,19.9914884,2002
2,33,medium,bo,PSME,1179.497816,2002
2,33,medium,bo,PIPO,59.9744652,2002
2,33,small,bo,PSME,479.7957216,2002
2,33,small,bo,PIPO,119.9489304,2002
2,2,large,co,PSME,59.9744652,2002
2,2,large,co,POTR,19.9914884,2002
2,2,medium,co,PSME,319.8638144,2002
2,2,small,co,PSME,2718.842422,2002
2,2,small,co,PIPO,39.9829768,2002
2,5,large,co,PSME,19.9914884,2002
2,5,large,co,PIPO,19.9914884,2002
2,5,medium,co,PSME,59.9744652,2002
2,5,medium,co,PIPO,19.9914884,2002
2,5,small,co,PSME,99.957442,2002
2,9,large,co,PSME,19.9914884,2002
2,9,medium,co,PSME,59.9744652,2002
2,9,medium,co,PIPO,59.9744652,2002
2,9,small,co,PSME,959.5914432,2002
2,12,large,co,PSME,159.9319072,2002
2,12,large,co,PIPO,19.9914884,2002
2,12,medium,co,PSME,199.914884,2002
2,12,medium,co,PIPO,19.9914884,2002
2,12,small,co,LAOC,19.9914884,2002
2,12,small,co,PSME,1179.497816,2002
2,12,small,co,PIPO,19.9914884,2002
2,18,large,co,PSME,39.9829768,2002
2,18,large,co,PIPO,59.9744652,2002
2,18,medium,co,PSME,99.957442,2002
2,18,small,co,PSME,1959.165863,2002
2,18,small,co,PIPO,19.9914884,2002
2,22,large,co,PSME,19.9914884,2002
2,22,medium,co,PSME,259.8893492,2002
2,22,medium,co,PIPO,19.9914884,2002
2,22,small,co,PSME,2698.850934,2002
2,22,small,co,PIPO,99.957442,2002
2,24,large,co,PSME,139.9404188,2002
2,24,large,co,PIPO,39.9829768,2002
2,24,medium,co,PSME,119.9489304,2002
2,24,medium,co,PIPO,19.9914884,2002
2,24,small,co,PSME,779.6680476,2002
2,24,small,co,PIPO,19.9914884,2002
2,26,medium,co,PSME,39.9829768,2002
2,26,small,co,PSME,1039.557397,2002
2,26,small,co,PIPO,19.9914884,2002
2,29,large,co,PSME,99.957442,2002
2,29,large,co,PIPO,59.9744652,2002
2,29,medium,co,PSME,219.9063724,2002
2,29,small,co,PSME,1019.565908,2002
2,29,small,co,PIPO,79.9659536,2002
2,33,large,co,PSME,59.9744652,2002
2,33,large,co,PIPO,59.9744652,2002
2,33,medium,co,PIPO,19.9914884,2002
2,33,small,co,PSME,499.78721,2002
2,33,small,co,PIPO,19.9914884,2002
2,2,small,tb,PSME,239.8978608,2002
2,2,small,tb,PIPO,19.9914884,2002
2,5,large,tb,PSME,99.957442,2002
2,5,medium,tb,PSME,39.9829768,2002
2,5,small,tb,PSME,79.9659536,2002
2,9,small,tb,PSME,1099.531862,2002
2,9,small,tb,PIPO,59.9744652,2002
2,12,small,tb,PSME,19.9914884,2002
2,18,medium,tb,PSME,19.9914884,2002
2,18,small,tb,PSME,159.9319072,2002
2,22,large,tb,PSME,19.9914884,2002
2,22,medium,tb,PSME,19.9914884,2002
2,22,small,tb,LAOC,19.9914884,2002
2,22,small,tb,PSME,119.9489304,2002
2,26,large,tb,LAOC,19.9914884,2002
2,26,large,tb,PSME,19.9914884,2002
2,26,medium,tb,LAOC,19.9914884,2002
2,26,medium,tb,PSME,79.9659536,2002
2,26,small,tb,LAOC,39.9829768,2002
2,26,small,tb,PSME,639.7276288,2002
2,29,medium,tb,PSME,19.9914884,2002
2,33,large,tb,LAOC,19.9914884,2002
2,33,large,tb,PSME,19.9914884,2002
2,33,large,tb,PIPO,19.9914884,2002
2,33,medium,tb,PSME,59.9744652,2002
2,33,small,tb,PSME,439.8127448,2002
2,2,large,to,PSME,79.9659536,2002
2,2,medium,to,PSME,19.9914884,2002
2,2,small,to,PSME,39.9829768,2002
2,5,large,to,PSME,19.9914884,2002
2,5,medium,to,PSME,139.9404188,2002
2,5,small,to,PSME,2259.038189,2002
2,5,small,to,PIPO,39.9829768,2002
2,9,medium,to,PSME,239.8978608,2002
2,9,small,to,PSME,2339.004143,2002
2,9,small,to,PIPO,19.9914884,2002
2,12,large,to,PSME,99.957442,2002
2,12,medium,to,PSME,239.8978608,2002
2,12,small,to,PSME,319.8638144,2002
2,18,small,to,PSME,199.914884,2002
2,22,medium,to,PSME,79.9659536,2002
2,22,small,to,PSME,499.78721,2002
2,24,large,to,PSME,19.9914884,2002
2,24,medium,to,PSME,79.9659536,2002
2,24,small,to,LAOC,19.9914884,2002
2,24,small,to,PSME,439.8127448,2002
2,26,large,to,PSME,99.957442,2002
2,26,medium,to,PSME,179.9233956,2002
2,26,small,to,PSME,519.7786984,2002
2,29,large,to,PSME,19.9914884,2002
2,29,medium,to,PSME,19.9914884,2002
2,29,small,to,LAOC,19.9914884,2002
2,29,small,to,PSME,279.8808376,2002
2,29,small,to,PIPO,19.9914884,2002
2,33,large,to,PSME,59.9744652,2002
2,33,medium,to,PSME,179.9233956,2002
2,33,small,to,PSME,1359.421211,2002
3,2,large,bo,PSME,59.9744652,2002
3,2,large,bo,PIPO,79.9659536,2002
3,2,medium,bo,PICO,59.9744652,2002
3,2,medium,bo,PSME,139.9404188,2002
3,2,medium,bo,PIPO,239.8978608,2002
3,2,small,bo,PSME,1179.497816,2002
3,2,small,bo,PIPO,2259.038189,2002
3,5,large,bo,PICO,19.9914884,2002
3,5,large,bo,PSME,379.8382796,2002
3,5,large,bo,PIPO,99.957442,2002
3,5,medium,bo,PSME,799.659536,2002
3,5,medium,bo,PIPO,219.9063724,2002
3,5,small,bo,PICO,99.957442,2002
3,5,small,bo,PSME,659.7191172,2002
3,5,small,bo,PIPO,3298.595586,2002
3,9,large,bo,PICO,19.9914884,2002
3,9,large,bo,PSME,39.9829768,2002
3,9,large,bo,PIPO,399.829768,2002
3,9,medium,bo,PICO,39.9829768,2002
3,9,medium,bo,PSME,59.9744652,2002
3,9,medium,bo,PIPO,1039.557397,2002
3,9,small,bo,PICO,139.9404188,2002
3,9,small,bo,PSME,759.6765592,2002
3,9,small,bo,PIPO,3658.442377,2002
3,12,large,bo,PSME,39.9829768,2002
3,12,large,bo,PIPO,39.9829768,2002
3,12,medium,bo,PSME,59.9744652,2002
3,12,medium,bo,PIPO,19.9914884,2002
3,12,small,bo,PSME,79.9659536,2002
3,12,small,bo,PIPO,139.9404188,2002
3,18,large,bo,PICO,39.9829768,2002
3,18,large,bo,PSME,99.957442,2002
3,18,large,bo,PIPO,79.9659536,2002
3,18,medium,bo,PICO,39.9829768,2002
3,18,medium,bo,PSME,119.9489304,2002
3,18,medium,bo,PIPO,399.829768,2002
3,18,small,bo,PICO,19.9914884,2002
3,18,small,bo,PSME,79.9659536,2002
3,18,small,bo,PIPO,939.5999548,2002
3,22,large,bo,PSME,19.9914884,2002
3,22,large,bo,PIPO,179.9233956,2002
3,22,medium,bo,PICO,19.9914884,2002
3,22,medium,bo,PIPO,799.659536,2002
3,22,small,bo,PSME,39.9829768,2002
3,22,small,bo,PIPO,2598.893492,2002
3,24,large,bo,PIPO,299.872326,2002
3,24,medium,bo,PIPO,299.872326,2002
3,24,small,bo,PSME,119.9489304,2002
3,24,small,bo,PIPO,199.914884,2002
3,26,large,bo,PICO,19.9914884,2002
3,26,large,bo,PIPO,139.9404188,2002
3,26,medium,bo,PSME,99.957442,2002
3,26,medium,bo,PIPO,139.9404188,2002
3,26,small,bo,PSME,619.7361404,2002
3,26,small,bo,PIPO,199.914884,2002
3,29,large,bo,PSME,79.9659536,2002
3,29,large,bo,PIPO,79.9659536,2002
3,29,medium,bo,PSME,239.8978608,2002
3,29,medium,bo,PIPO,479.7957216,2002
3,29,small,bo,PSME,879.6254896,2002
3,29,small,bo,PIPO,5177.795496,2002
3,33,large,bo,PSME,39.9829768,2002
3,33,large,bo,PIPO,199.914884,2002
3,33,medium,bo,PICO,19.9914884,2002
3,33,medium,bo,PSME,59.9744652,2002
3,33,medium,bo,PIPO,459.8042332,2002
3,33,small,bo,PICO,19.9914884,2002
3,33,small,bo,PSME,499.78721,2002
3,33,small,bo,PIPO,1539.344607,2002
3,2,large,co,PSME,59.9744652,2002
3,2,medium,co,PSME,479.7957216,2002
3,2,small,co,PSME,2678.859446,2002
3,2,small,co,PIPO,199.914884,2002
3,5,large,co,PSME,19.9914884,2002
3,5,large,co,PIPO,39.9829768,2002
3,5,medium,co,PSME,19.9914884,2002
3,5,medium,co,PIPO,79.9659536,2002
3,5,small,co,JUSC,19.9914884,2002
3,5,small,co,PSME,419.8212564,2002
3,5,small,co,PIPO,79.9659536,2002
3,9,large,co,PSME,179.9233956,2002
3,9,large,co,PIPO,19.9914884,2002
3,9,medium,co,PICO,19.9914884,2002
3,9,medium,co,PSME,739.6850708,2002
3,9,small,co,PSME,2478.944562,2002
3,9,small,co,PIPO,199.914884,2002
3,12,large,co,PSME,59.9744652,2002
3,12,medium,co,PSME,239.8978608,2002
3,12,medium,co,PIPO,79.9659536,2002
3,12,small,co,PSME,1899.191398,2002
3,12,small,co,PIPO,1599.319072,2002
3,18,large,co,PICO,19.9914884,2002
